dt;co;no;no2;o3;so2;pm2_5;pm_10;nh3;aqi
1760497200.0;93.44;0.0;0.5;60.76;0.33;5.8;11.63;0.65;2.0
1760500800.0;90.08;0.0;0.48;56.81;0.3;5.47;11.42;0.59;1.0
1760504400.0;87.09;0.0;0.45;52.64;0.28;5.25;11.27;0.54;1.0
1760508000.0;84.73;0.0;0.41;49.88;0.27;5.07;11.18;0.53;1.0
1760511600.0;82.84;0.0;0.37;48.02;0.26;4.92;11.01;0.53;1.0
1760515200.0;81.3;0.0;0.38;45.98;0.25;4.78;10.79;0.51;1.0
1760518800.0;80.0;0.0;0.42;44.25;0.24;4.65;10.58;0.49;1.0
1760522400.0;80.0;0.05;0.6;43.16;0.24;4.49;10.39;0.47;1.0
1760526000.0;81.72;0.21;0.75;43.51;0.23;4.32;10.21;0.44;1.0
1760529600.0;82.68;0.24;0.69;46.87;0.22;4.16;10.08;0.44;1.0
1760533200.0;83.32;0.05;0.24;60.51;0.22;3.91;9.97;0.54;2.0
1760536800.0;82.78;0.03;0.16;61.33;0.2;3.71;9.6;0.51;2.0
1760540400.0;82.19;0.03;0.13;60.96;0.18;3.55;9.32;0.48;2.0
1760544000.0;81.72;0.02;0.13;60.35;0.17;3.39;8.98;0.44;2.0
1760547600.0;81.25;0.02;0.13;59.67;0.15;3.24;8.64;0.41;1.0
1760551200.0;80.66;0.02;0.15;59.17;0.14;3.12;8.32;0.39;1.0
1760554800.0;80.4;0.02;0.17;58.84;0.14;3.03;8.07;0.37;1.0
1760558400.0;80.25;0.02;0.22;58.4;0.13;2.92;7.74;0.35;1.0
1760562000.0;80.17;0.01;0.28;57.89;0.13;2.86;7.48;0.34;1.0
1760565600.0;80.03;0.0;0.32;56.92;0.13;2.83;7.44;0.33;1.0
1760569200.0;79.95;0.0;0.35;55.77;0.13;2.84;7.55;0.33;1.0
1760572800.0;79.99;0.0;0.35;54.96;0.13;2.87;7.6;0.32;1.0
1760576400.0;79.95;0.0;0.34;53.85;0.14;2.9;7.59;0.32;1.0
1760580000.0;80.54;0.0;0.36;52.7;0.17;2.93;7.54;0.34;1.0
1760583600.0;81.29;0.0;0.39;51.72;0.23;2.93;7.51;0.36;1.0
1760587200.0;81.39;0.0;0.45;47.93;0.25;2.93;7.41;0.34;1.0
1760590800.0;80.69;0.0;0.49;43.74;0.27;2.91;7.31;0.33;1.0
1760594400.0;80.03;0.0;0.54;41.91;0.31;2.88;7.29;0.38;1.0
1760598000.0;79.74;0.0;0.62;41.51;0.37;2.87;7.33;0.48;1.0
1760601600.0;79.83;0.0;0.74;39.75;0.42;2.93;7.59;0.49;1.0
1760605200.0;80.56;0.0;0.92;37.53;0.47;3.05;8.04;0.46;1.0
1760608800.0;82.35;0.1;1.16;35.84;0.49;3.2;8.63;0.39;1.0
1760612400.0;85.59;0.39;1.29;36.07;0.52;3.37;9.33;0.33;1.0
1760616000.0;88.21;0.5;1.3;39.21;0.56;3.58;9.96;0.35;1.0
1760619600.0;92.18;0.12;0.71;58.58;0.85;3.69;10.3;0.51;1.0
1760623200.0;92.77;0.07;0.43;62.63;0.76;3.85;10.31;0.48;2.0
1760626800.0;92.31;0.05;0.31;63.63;0.67;3.94;10.25;0.44;2.0
1760630400.0;91.69;0.04;0.25;63.88;0.56;4.0;10.17;0.38;2.0
1760634000.0;90.41;0.04;0.24;63.01;0.48;4.01;10.19;0.33;2.0
1760637600.0;88.53;0.03;0.24;61.84;0.4;3.9;10.08;0.27;2.0
1760641200.0;86.78;0.04;0.26;59.89;0.33;3.73;9.84;0.22;1.0
1760644800.0;85.79;0.04;0.35;57.62;0.29;3.62;9.64;0.19;1.0
1760648400.0;86.77;0.02;0.52;56.16;0.33;3.66;9.59;0.18;1.0
1760652000.0;89.3;0.0;0.78;53.24;0.39;3.84;9.69;0.2;1.0
1760655600.0;93.69;0.0;1.07;49.83;0.46;4.25;10.35;0.21;1.0
1760659200.0;100.05;0.0;1.36;47.86;0.6;4.93;11.65;0.25;1.0
1760662800.0;108.85;0.0;1.72;45.82;0.75;5.91;13.59;0.3;1.0
1760666400.0;117.41;0.0;2.04;43.3;0.84;6.97;15.6;0.32;1.0
1760670000.0;122.89;0.0;2.12;41.7;0.9;7.9;17.29;0.36;1.0
1760673600.0;125.37;0.0;2.02;40.7;0.98;8.65;18.56;0.42;1.0
1760677200.0;128.14;0.0;1.91;41.37;1.08;9.47;20.0;0.5;1.0
1760680800.0;131.58;0.0;1.85;43.44;1.18;10.35;21.5;0.58;2.0
1760684400.0;134.98;0.0;1.84;45.77;1.25;11.16;22.61;0.68;2.0
1760688000.0;136.25;0.0;1.78;46.22;1.24;11.71;23.52;0.68;2.0
1760691600.0;136.59;0.0;1.74;45.66;1.19;12.12;24.26;0.64;2.0
1760695200.0;138.14;0.08;1.91;44.69;1.09;12.41;24.79;0.51;2.0
1760698800.0;141.56;0.39;1.91;45.39;0.99;12.73;25.35;0.37;2.0
1760702400.0;144.34;0.46;1.68;52.58;0.98;13.27;26.09;0.35;2.0
1760706000.0;145.34;0.13;0.81;83.15;1.24;13.06;25.2;0.44;2.0
1760709600.0;145.76;0.08;0.49;87.46;1.16;13.84;25.94;0.39;2.0
1760713200.0;146.49;0.06;0.4;88.85;1.1;14.67;26.9;0.35;2.0
1760716800.0;146.85;0.06;0.37;89.38;0.99;15.26;27.4;0.3;2.0
1760720400.0;147.36;0.06;0.36;88.79;0.88;15.56;27.66;0.26;2.0
1760724000.0;148.53;0.05;0.37;87.31;0.77;15.41;27.44;0.22;2.0
1760727600.0;149.56;0.04;0.46;82.25;0.65;14.44;26.26;0.19;2.0
1760731200.0;151.09;0.03;0.63;75.37;0.57;13.29;24.93;0.16;2.0
1760734800.0;156.14;0.01;0.82;71.72;0.58;12.92;24.51;0.14;2.0
1760738400.0;163.26;0.0;1.02;68.28;0.59;13.35;24.86;0.12;2.0
1760742000.0;170.9;0.0;1.2;64.88;0.59;14.36;26.05;0.12;2.0
1760745600.0;177.67;0.0;1.28;62.67;0.62;15.62;27.65;0.13;2.0
1760749200.0;183.07;0.0;1.31;60.93;0.66;16.67;28.36;0.16;2.0
1760752800.0;184.23;0.0;1.24;60.75;0.66;17.1;28.19;0.17;2.0
1760756400.0;183.06;0.0;1.1;61.37;0.63;16.94;27.41;0.16;2.0
1760760000.0;180.57;0.0;0.92;62.02;0.62;16.34;25.58;0.2;2.0
1760763600.0;176.1;0.0;0.81;58.81;0.61;15.82;23.78;0.25;2.0
1760767200.0;170.1;0.0;0.74;54.74;0.63;15.49;22.29;0.28;2.0
1760770800.0;163.9;0.0;0.69;51.09;0.59;15.42;21.38;0.28;2.0
1760774400.0;160.42;0.0;0.66;48.98;0.55;15.31;20.99;0.3;2.0
1760778000.0;158.74;0.0;0.67;48.56;0.51;15.03;20.51;0.32;2.0
1760781600.0;160.01;0.0;0.8;49.54;0.49;14.54;19.57;0.32;2.0
1760785200.0;162.57;0.02;1.01;49.51;0.44;13.92;18.33;0.27;2.0
1760788800.0;164.94;0.04;1.0;50.84;0.38;13.32;17.01;0.23;2.0
1760792400.0;173.5;0.04;0.75;60.5;0.33;13.17;15.92;0.23;2.0
1760796000.0;175.33;0.05;0.66;60.3;0.27;12.66;14.61;0.2;2.0
1760799600.0;175.67;0.05;0.56;59.2;0.23;12.11;13.54;0.17;2.0
1760803200.0;176.16;0.04;0.5;58.57;0.21;11.74;12.85;0.16;2.0
1760806800.0;176.61;0.03;0.5;58.88;0.2;11.31;12.26;0.15;2.0
1760810400.0;176.65;0.03;0.51;60.57;0.19;10.82;11.8;0.13;2.0
1760814000.0;176.04;0.01;0.55;63.65;0.19;10.35;11.85;0.11;2.0
1760817600.0;172.51;0.0;0.63;66.46;0.31;10.14;13.64;0.07;2.0
1760821200.0;158.5;0.0;0.74;65.85;0.57;10.02;17.47;0.03;2.0
1760824800.0;120.42;0.0;0.61;58.41;0.62;8.16;18.94;0.01;1.0
1760828400.0;87.61;0.0;0.31;51.49;0.36;6.18;19.13;0.01;1.0
1760832000.0;77.77;0.0;0.15;51.61;0.18;5.35;18.64;0.01;1.0
1760835600.0;77.05;0.0;0.11;55.81;0.13;4.68;15.8;0.01;1.0
