X;y;y_predicted
1759374000.0;2.0;1.815612056599491
1759377600.0;2.0;1.8155469561573234
1759381200.0;2.0;1.8154818557151522
1759384800.0;2.0;1.815416755272981
1759388400.0;2.0;1.8153516548308133
1759392000.0;2.0;1.815286554388642
1759395600.0;2.0;1.8152214539464744
1759399200.0;2.0;1.8151563535043032
1759402800.0;2.0;1.815091253062132
1759406400.0;2.0;1.8150261526199643
1759410000.0;2.0;1.814961052177793
1759413600.0;2.0;1.8148959517356253
1759417200.0;2.0;1.8148308512934541
1759420800.0;2.0;1.8147657508512829
1759424400.0;2.0;1.8147006504091152
1759428000.0;2.0;1.814635549966944
1759431600.0;2.0;1.8145704495247763
1759435200.0;2.0;1.814505349082605
1759438800.0;2.0;1.8144402486404339
1759442400.0;2.0;1.8143751481982662
1759446000.0;2.0;1.814310047756095
1759449600.0;2.0;1.8142449473139273
1759453200.0;2.0;1.814179846871756
1759456800.0;2.0;1.8141147464295848
1759460400.0;2.0;1.8140496459874171
1759464000.0;2.0;1.813984545545246
1759467600.0;1.0;1.8139194451030782
1759471200.0;1.0;1.813854344660907
1759474800.0;1.0;1.8137892442187358
1759478400.0;1.0;1.813724143776568
1759482000.0;1.0;1.8136590433343969
1759485600.0;1.0;1.8135939428922292
1759489200.0;1.0;1.813528842450058
1759492800.0;1.0;1.8134637420078867
1759496400.0;2.0;1.813398641565719
1759500000.0;2.0;1.8133335411235478
1759503600.0;2.0;1.8132684406813802
1759507200.0;2.0;1.813203340239209
1759510800.0;2.0;1.8131382397970413
1759514400.0;2.0;1.81307313935487
1759518000.0;2.0;1.8130080389126988
1759521600.0;2.0;1.8129429384705311
1759525200.0;2.0;1.81287783802836
1759528800.0;2.0;1.8128127375861922
1759532400.0;2.0;1.812747637144021
1759536000.0;2.0;1.8126825367018498
1759539600.0;2.0;1.812617436259682
1759543200.0;1.0;1.8125523358175109
1759546800.0;1.0;1.8124872353753432
1759550400.0;1.0;1.812422134933172
1759554000.0;1.0;1.8123570344910007
1759557600.0;1.0;1.812291934048833
1759561200.0;1.0;1.8122268336066618
1759564800.0;1.0;1.8121617331644941
1759568400.0;1.0;1.812096632722323
1759572000.0;1.0;1.8120315322801517
1759575600.0;1.0;1.811966431837984
1759579200.0;1.0;1.8119013313958128
1759582800.0;2.0;1.811836230953645
1759586400.0;2.0;1.8117711305114739
1759590000.0;2.0;1.8117060300693026
1759593600.0;2.0;1.811640929627135
1759597200.0;2.0;1.8115758291849637
1759600800.0;2.0;1.811510728742796
1759604400.0;2.0;1.8114456283006248
1759608000.0;2.0;1.8113805278584536
1759611600.0;2.0;1.811315427416286
1759615200.0;2.0;1.8112503269741147
1759618800.0;2.0;1.811185226531947
1759622400.0;2.0;1.8111201260897758
1759626000.0;2.0;1.8110550256476046
1759629600.0;2.0;1.810989925205437
1759633200.0;2.0;1.8109248247632657
1759636800.0;2.0;1.810859724321098
1759640400.0;2.0;1.8107946238789268
1759644000.0;2.0;1.8107295234367555
1759647600.0;2.0;1.8106644229945879
1759651200.0;2.0;1.8105993225524166
1759654800.0;2.0;1.810534222110249
1759658400.0;2.0;1.8104691216680777
1759662000.0;2.0;1.81040402122591
1759665600.0;2.0;1.8103389207837388
1759669200.0;2.0;1.8102738203415676
1759672800.0;3.0;1.8102087198994
1759676400.0;3.0;1.8101436194572287
1759680000.0;3.0;1.810078519015061
1759683600.0;3.0;1.8100134185728898
1759687200.0;3.0;1.8099483181307185
1759690800.0;3.0;1.8098832176885509
1759694400.0;3.0;1.8098181172463796
1759698000.0;3.0;1.809753016804212
1759701600.0;3.0;1.8096879163620407
1759705200.0;3.0;1.8096228159198695
1759708800.0;2.0;1.8095577154777018
1759712400.0;2.0;1.8094926150355306
1759716000.0;2.0;1.809427514593363
1759719600.0;2.0;1.8093624141511917
1759723200.0;2.0;1.8092973137090205
1759726800.0;2.0;1.8092322132668528
1759730400.0;2.0;1.8091671128246816
1759734000.0;2.0;1.809102012382514
1759737600.0;2.0;1.8090369119403427
1759741200.0;2.0;1.8089718114981714
1759744800.0;2.0;1.8089067110560038
1759748400.0;2.0;1.8088416106138325
1759752000.0;2.0;1.8087765101716649
1759755600.0;3.0;1.8087114097294936
1759759200.0;3.0;1.8086463092873224
1759762800.0;3.0;1.8085812088451547
1759766400.0;3.0;1.8085161084029835
1759770000.0;3.0;1.8084510079608158
1759773600.0;3.0;1.8083859075186446
1759777200.0;3.0;1.8083208070764734
1759780800.0;3.0;1.8082557066343057
1759784400.0;3.0;1.8081906061921345
1759788000.0;3.0;1.8081255057499668
1759791600.0;3.0;1.8080604053077955
1759795200.0;3.0;1.8079953048656279
1759798800.0;3.0;1.8079302044234566
1759802400.0;3.0;1.8078651039812854
1759806000.0;3.0;1.8078000035391177
1759809600.0;2.0;1.8077349030969465
1759813200.0;2.0;1.8076698026547788
1759816800.0;2.0;1.8076047022126076
1759820400.0;2.0;1.8075396017704364
1759824000.0;1.0;1.8074745013282687
1759827600.0;1.0;1.8074094008860975
1759831200.0;1.0;1.8073443004439298
1759834800.0;1.0;1.8072792000017586
1759838400.0;1.0;1.8072140995595873
1759842000.0;1.0;1.8071489991174197
1759845600.0;1.0;1.8070838986752484
1759849200.0;1.0;1.8070187982330808
1759852800.0;1.0;1.8069536977909095
1759856400.0;1.0;1.8068885973487383
1759860000.0;2.0;1.8068234969065706
1759863600.0;2.0;1.8067583964643994
1759867200.0;2.0;1.8066932960222317
1759870800.0;2.0;1.8066281955800605
1759874400.0;2.0;1.8065630951378893
1759878000.0;2.0;1.8064979946957216
1759881600.0;2.0;1.8064328942535504
1759885200.0;2.0;1.8063677938113827
1759888800.0;2.0;1.8063026933692115
1759892400.0;2.0;1.8062375929270402
1759896000.0;2.0;1.8061724924848725
1759899600.0;1.0;1.8061073920427013
1759903200.0;1.0;1.8060422916005336
1759906800.0;1.0;1.8059771911583624
1759910400.0;1.0;1.8059120907161912
1759914000.0;1.0;1.8058469902740235
1759917600.0;1.0;1.8057818898318523
1759921200.0;1.0;1.8057167893896846
1759924800.0;1.0;1.8056516889475134
1759928400.0;1.0;1.8055865885053457
1759932000.0;1.0;1.8055214880631745
1759935600.0;1.0;1.8054563876210032
1759939200.0;1.0;1.8053912871788356
1759942800.0;1.0;1.8053261867366643
1759946400.0;1.0;1.8052610862944967
1759950000.0;1.0;1.8051959858523254
1759953600.0;1.0;1.8051308854101542
1759957200.0;1.0;1.8050657849679865
1759960800.0;1.0;1.8050006845258153
1759964400.0;1.0;1.8049355840836476
1759968000.0;1.0;1.8048704836414764
1759971600.0;1.0;1.8048053831993052
1759975200.0;1.0;1.8047402827571375
1759978800.0;1.0;1.8046751823149663
1759982400.0;1.0;1.8046100818727986
1759986000.0;1.0;1.8045449814306274
1759989600.0;1.0;1.8044798809884561
1759993200.0;2.0;1.8044147805462885
1759996800.0;2.0;1.8043496801041172
1760000400.0;2.0;1.8042845796619496
1760004000.0;2.0;1.8042194792197783
1760007600.0;2.0;1.804154378777607
1760011200.0;2.0;1.8040892783354394
1760014800.0;2.0;1.8040241778932682
1760018400.0;1.0;1.8039590774511005
1760022000.0;1.0;1.8038939770089293
1760025600.0;1.0;1.803828876566758
1760029200.0;1.0;1.8037637761245904
1760032800.0;2.0;1.8036986756824192
1760036400.0;2.0;1.8036335752402515
1760040000.0;2.0;1.8035684747980802
1760043600.0;2.0;1.803503374355909
1760047200.0;2.0;1.8034382739137413
1760050800.0;2.0;1.8033731734715701
1760054400.0;2.0;1.8033080730294024
1760058000.0;2.0;1.8032429725872312
1760061600.0;2.0;1.8031778721450635
1760065200.0;2.0;1.8031127717028923
1760068800.0;2.0;1.803047671260721
1760072400.0;2.0;1.8029825708185534
1760076000.0;2.0;1.8029174703763822
1760079600.0;1.0;1.8028523699342145
1760083200.0;1.0;1.8027872694920433
1760086800.0;1.0;1.802722169049872
1760090400.0;1.0;1.8026570686077044
1760094000.0;1.0;1.8025919681655331
1760097600.0;1.0;1.8025268677233655
1760101200.0;1.0;1.8024617672811942
1760104800.0;1.0;1.802396666839023
1760108400.0;1.0;1.8023315663968553
1760112000.0;1.0;1.802266465954684
1760115600.0;1.0;1.8022013655125164
1760119200.0;2.0;1.8021362650703452
1760122800.0;2.0;1.802071164628174
1760126400.0;2.0;1.8020060641860063
1760130000.0;2.0;1.801940963743835
1760133600.0;2.0;1.8018758633016674
1760137200.0;2.0;1.8018107628594962
1760140800.0;2.0;1.801745662417325
1760144400.0;2.0;1.8016805619751572
1760148000.0;1.0;1.801615461532986
1760151600.0;1.0;1.8015503610908183
1760155200.0;1.0;1.8014852606486471
1760158800.0;1.0;1.8014201602064759
1760162400.0;1.0;1.8013550597643082
1760166000.0;1.0;1.801289959322137
1760169600.0;1.0;1.8012248588799693
1760173200.0;1.0;1.801159758437798
1760176800.0;1.0;1.8010946579956268
1760180400.0;1.0;1.8010295575534592
1760184000.0;1.0;1.800964457111288
1760187600.0;1.0;1.8008993566691203
1760191200.0;2.0;1.800834256226949
1760194800.0;2.0;1.8007691557847778
1760198400.0;2.0;1.8007040553426101
1760202000.0;2.0;1.800638954900439
1760205600.0;2.0;1.8005738544582712
1760209200.0;2.0;1.8005087540161
1760212800.0;2.0;1.8004436535739323
1760216400.0;2.0;1.800378553131761
1760220000.0;2.0;1.8003134526895899
1760223600.0;2.0;1.8002483522474222
1760227200.0;1.0;1.800183251805251
1760230800.0;1.0;1.8001181513630833
1760234400.0;1.0;1.800053050920912
1760238000.0;1.0;1.7999879504787408
1760241600.0;1.0;1.7999228500365732
1760245200.0;1.0;1.799857749594402
1760248800.0;2.0;1.7997926491522342
1760252400.0;2.0;1.799727548710063
1760256000.0;2.0;1.7996624482678918
1760259600.0;2.0;1.7995973478257241
1760263200.0;2.0;1.7995322473835529
1760266800.0;2.0;1.7994671469413852
1760270400.0;2.0;1.799402046499214
1760274000.0;2.0;1.7993369460570428
1760277600.0;2.0;1.799271845614875
1760281200.0;2.0;1.7992067451727038
1760284800.0;2.0;1.7991416447305362
1760288400.0;2.0;1.799076544288365
1760292000.0;2.0;1.7990114438461937
1760295600.0;2.0;1.798946343404026
1760299200.0;2.0;1.7988812429618548
1760302800.0;2.0;1.7988161425196871
1760306400.0;2.0;1.798751042077516
1760310000.0;2.0;1.7986859416353447
1760313600.0;3.0;1.798620841193177
1760317200.0;3.0;1.7985557407510058
1760320800.0;3.0;1.798490640308838
1760324400.0;3.0;1.7984255398666669
1760328000.0;3.0;1.7983604394244956
1760331600.0;3.0;1.798295338982328
1760335200.0;3.0;1.7982302385401567
1760338800.0;2.0;1.798165138097989
1760342400.0;2.0;1.7981000376558178
1760346000.0;2.0;1.7980349372136502
1760349600.0;2.0;1.797969836771479
1760353200.0;2.0;1.7979047363293077
1760356800.0;2.0;1.79783963588714
1760360400.0;2.0;1.7977745354449688
1760364000.0;2.0;1.7977094350028011
1760367600.0;2.0;1.7976443345606299
1760371200.0;2.0;1.7975792341184587
1760374800.0;2.0;1.797514133676291
1760378400.0;2.0;1.7974490332341198
1760382000.0;2.0;1.797383932791952
1760385600.0;2.0;1.7973188323497808
1760389200.0;2.0;1.7972537319076096
1760392800.0;2.0;1.797188631465442
1760396400.0;2.0;1.7971235310232707
1760400000.0;2.0;1.797058430581103
1760403600.0;2.0;1.7969933301389318
1760407200.0;2.0;1.7969282296967606
1760410800.0;1.0;1.796863129254593
