dt;co;no;no2;o3;so2;pm2_5;pm_10;nh3;aqi
1756695600.0;70.89;0.0;0.46;54.79;0.31;2.46;9.06;0.05;1.0
1756699200.0;71.32;0.0;0.5;54.11;0.34;2.54;9.53;0.05;1.0
1756702800.0;71.81;0.0;0.54;54.02;0.38;2.63;10.08;0.06;1.0
1756706400.0;72.18;0.0;0.56;54.21;0.41;2.68;10.6;0.07;1.0
1756710000.0;72.2;0.0;0.56;54.22;0.41;2.65;10.65;0.08;1.0
1756713600.0;72.74;0.0;0.6;53.63;0.43;2.58;10.22;0.09;1.0
1756717200.0;74.09;0.0;0.7;52.62;0.48;2.54;9.8;0.11;1.0
1756720800.0;76.09;0.0;0.86;51.59;0.55;2.54;9.41;0.13;1.0
1756724400.0;78.06;0.06;0.96;51.01;0.59;2.52;9.12;0.15;1.0
1756728000.0;79.63;0.12;0.91;51.34;0.61;2.5;8.92;0.16;1.0
1756731600.0;80.5;0.13;0.74;53.11;0.63;2.47;8.46;0.16;1.0
1756735200.0;80.74;0.1;0.53;55.73;0.61;2.44;7.82;0.15;1.0
1756738800.0;80.44;0.06;0.36;58.11;0.55;2.43;7.24;0.12;1.0
1756742400.0;80.01;0.05;0.26;59.86;0.48;2.46;6.98;0.09;1.0
1756746000.0;79.75;0.05;0.24;61.17;0.46;2.63;7.32;0.08;2.0
1756749600.0;80.43;0.05;0.27;62.77;0.48;2.96;8.22;0.09;2.0
1756753200.0;81.26;0.05;0.33;63.83;0.5;3.29;9.51;0.09;2.0
1756756800.0;81.21;0.04;0.46;63.34;0.49;3.44;10.73;0.09;2.0
1756760400.0;80.62;0.01;0.61;61.59;0.45;3.43;11.54;0.08;2.0
1756764000.0;78.97;0.0;0.63;58.95;0.4;3.33;12.12;0.07;1.0
1756767600.0;77.85;0.0;0.62;56.15;0.37;3.28;12.7;0.07;1.0
1756771200.0;77.6;0.0;0.67;53.78;0.4;3.29;13.16;0.08;1.0
1756774800.0;77.21;0.0;0.72;51.86;0.44;3.27;13.33;0.09;1.0
1756778400.0;76.08;0.0;0.71;50.42;0.45;3.28;13.31;0.09;1.0
1756782000.0;74.21;0.0;0.66;49.47;0.44;3.34;13.61;0.09;1.0
1756785600.0;73.06;0.0;0.64;48.85;0.44;3.44;13.87;0.09;1.0
1756789200.0;73.01;0.0;0.7;48.51;0.47;3.62;14.27;0.11;1.0
1756792800.0;73.72;0.0;0.82;48.32;0.54;3.94;15.27;0.15;1.0
1756796400.0;75.05;0.0;0.94;46.66;0.6;4.31;16.19;0.16;1.0
1756800000.0;77.37;0.0;1.1;43.93;0.65;4.7;16.74;0.17;1.0
1756803600.0;81.84;0.0;1.38;41.6;0.78;5.1;17.22;0.21;1.0
1756807200.0;88.98;0.01;1.88;39.67;1.0;5.51;18.16;0.24;1.0
1756810800.0;98.43;0.18;2.41;38.79;1.26;5.93;19.64;0.27;1.0
1756814400.0;108.88;0.41;2.78;41.07;1.63;6.38;20.86;0.36;2.0
1756818000.0;120.63;0.43;2.91;50.63;2.15;7.03;21.17;0.46;2.0
1756821600.0;125.54;0.3;2.31;62.28;2.16;7.87;20.91;0.41;2.0
1756825200.0;125.29;0.18;1.51;73.09;2.03;8.95;21.15;0.34;2.0
1756828800.0;123.68;0.12;0.97;81.29;1.92;10.26;22.32;0.29;2.0
1756832400.0;121.42;0.1;0.74;87.09;1.88;11.72;24.23;0.27;2.0
1756836000.0;118.11;0.1;0.69;91.24;1.88;12.6;25.57;0.28;2.0
1756839600.0;114.29;0.1;0.78;92.5;1.82;12.7;26.25;0.27;2.0
1756843200.0;111.6;0.08;1.08;91.15;1.73;12.34;26.7;0.27;2.0
1756846800.0;110.38;0.02;1.57;87.74;1.67;11.79;27.15;0.27;2.0
1756850400.0;107.96;0.0;1.77;82.08;1.55;10.95;27.4;0.26;2.0
1756854000.0;105.07;0.0;1.78;75.27;1.39;10.12;27.73;0.25;2.0
1756857600.0;103.74;0.0;1.81;69.62;1.29;9.58;28.19;0.25;2.0
1756861200.0;102.77;0.0;1.88;60.59;1.0;9.26;28.02;0.19;2.0
1756864800.0;101.99;0.0;1.92;53.59;0.8;9.09;27.62;0.18;2.0
1756868400.0;101.48;0.0;1.89;50.29;0.74;8.99;27.38;0.19;2.0
1756872000.0;102.24;0.0;1.79;47.86;0.76;9.1;27.47;0.21;2.0
1756875600.0;105.43;0.0;1.8;46.13;0.86;9.41;28.41;0.25;2.0
1756879200.0;110.36;0.0;1.91;44.53;1.04;9.86;29.94;0.32;2.0
1756882800.0;116.03;0.0;2.1;42.58;1.26;10.39;31.77;0.38;2.0
1756886400.0;123.46;0.0;2.36;39.7;1.46;11.2;34.01;0.42;2.0
1756890000.0;133.14;0.0;2.77;36.84;1.7;12.37;36.75;0.48;2.0
1756893600.0;147.86;0.01;3.53;35.58;1.95;13.86;40.42;0.52;2.0
1756897200.0;161.12;0.23;4.24;33.81;2.04;15.23;43.53;0.49;2.0
1756900800.0;173.41;0.44;4.73;34.79;2.18;16.48;45.7;0.49;2.0
1756904400.0;206.75;0.69;6.75;51.55;4.56;18.24;48.99;1.4;2.0
1756908000.0;213.91;0.71;5.39;69.32;4.95;20.2;50.03;1.54;3.0
1756911600.0;212.72;0.39;3.03;91.67;4.82;23.52;52.51;1.46;3.0
1756915200.0;205.97;0.18;1.44;106.22;4.33;26.41;54.09;1.2;3.0
1756918800.0;193.66;0.12;0.98;110.71;3.65;27.51;53.24;0.87;3.0
1756922400.0;177.04;0.11;0.89;112.77;3.18;26.84;50.21;0.64;3.0
1756926000.0;162.47;0.1;0.99;112.2;2.83;25.46;46.77;0.46;3.0
1756929600.0;154.3;0.08;1.32;109.73;2.56;24.47;44.56;0.35;3.0
1756933200.0;155.32;0.01;1.88;109.04;2.55;24.73;44.62;0.34;3.0
1756936800.0;160.0;0.0;2.22;105.79;2.48;25.49;45.63;0.35;3.0
1756940400.0;164.85;0.0;2.39;99.11;2.27;26.09;46.67;0.34;3.0
1756944000.0;171.02;0.0;2.43;92.04;2.08;26.68;48.03;0.37;3.0
1756947600.0;174.07;0.0;2.4;83.24;1.9;26.86;49.0;0.41;3.0
1756951200.0;173.42;0.0;2.3;74.93;1.74;26.67;49.69;0.45;3.0
1756954800.0;170.9;0.0;2.2;70.85;1.74;26.5;50.58;0.54;3.0
1756958400.0;172.27;0.0;2.25;69.34;1.88;26.86;50.92;0.62;3.0
1756962000.0;179.74;0.0;2.4;65.97;2.01;28.04;52.66;0.64;3.0
1756965600.0;196.33;0.0;2.95;60.93;2.22;29.77;55.1;0.67;3.0
1756969200.0;220.03;0.0;4.02;54.93;2.5;31.72;57.3;0.75;3.0
1756972800.0;249.78;0.0;5.47;49.5;2.82;33.44;59.8;0.88;3.0
1756976400.0;282.77;0.0;7.14;44.43;3.14;34.48;61.8;1.06;3.0
1756980000.0;313.54;0.01;9.12;39.82;3.38;34.33;62.22;1.19;3.0
1756983600.0;334.74;0.32;10.58;36.18;3.3;33.0;61.02;1.25;3.0
1756987200.0;345.73;1.08;9.78;36.35;2.72;31.24;58.74;1.11;3.0
1756990800.0;353.34;1.79;7.57;48.63;2.17;31.36;57.97;0.71;3.0
1756994400.0;352.49;1.1;5.88;71.1;1.83;34.02;59.68;0.55;3.0
1756998000.0;346.12;0.48;3.41;97.07;1.64;39.0;64.03;0.52;3.0
1757001600.0;336.3;0.24;1.84;116.72;1.62;44.26;68.71;0.58;3.0
1757005200.0;317.17;0.17;1.47;123.03;1.5;46.42;69.87;0.53;3.0
1757008800.0;292.38;0.16;1.49;125.74;1.51;45.8;68.1;0.51;3.0
1757012400.0;264.98;0.15;1.69;125.23;1.56;43.11;63.78;0.5;3.0
1757016000.0;240.0;0.11;2.17;118.89;1.51;39.24;57.75;0.46;3.0
1757019600.0;222.69;0.02;2.9;112.03;1.57;35.38;51.88;0.45;3.0
1757023200.0;211.9;0.0;3.19;107.26;1.71;32.29;47.32;0.44;3.0
1757026800.0;210.46;0.0;3.42;101.32;1.75;30.68;45.1;0.43;3.0
1757030400.0;215.91;0.0;3.66;95.82;1.84;30.1;44.71;0.46;3.0
1757034000.0;221.88;0.0;3.74;90.84;1.93;29.85;44.98;0.48;3.0
1757037600.0;222.66;0.0;3.41;86.41;1.78;29.81;45.62;0.4;3.0
1757041200.0;214.01;0.0;2.73;83.05;1.47;29.78;46.18;0.3;3.0
1757044800.0;199.39;0.0;1.96;86.57;1.36;29.7;47.17;0.31;3.0
1757048400.0;188.6;0.0;1.48;84.41;1.04;29.82;47.52;0.2;3.0
1757052000.0;178.47;0.0;1.07;80.43;0.77;29.37;46.65;0.12;3.0
1757055600.0;167.29;0.0;0.77;76.34;0.61;27.74;44.05;0.09;3.0
1757059200.0;156.83;0.0;0.63;71.99;0.53;25.06;40.19;0.07;3.0
1757062800.0;146.96;0.0;0.59;67.95;0.5;21.44;35.0;0.07;2.0
1757066400.0;136.82;0.0;0.61;66.39;0.51;16.95;28.36;0.07;2.0
1757070000.0;126.61;0.0;0.71;63.0;0.46;12.88;22.44;0.07;2.0
1757073600.0;117.3;0.02;0.75;60.31;0.42;9.58;17.95;0.07;2.0
1757077200.0;109.29;0.02;0.65;61.2;0.37;6.8;13.89;0.08;2.0
1757080800.0;102.19;0.02;0.53;61.73;0.33;4.92;11.12;0.09;2.0
1757084400.0;95.58;0.02;0.44;61.3;0.3;3.82;9.54;0.09;2.0
1757088000.0;89.79;0.02;0.4;60.57;0.29;3.26;8.6;0.1;2.0
1757091600.0;84.62;0.02;0.4;59.83;0.31;3.01;8.27;0.1;1.0
1757095200.0;80.08;0.02;0.42;59.56;0.34;2.94;8.67;0.08;1.0
1757098800.0;76.41;0.01;0.46;59.87;0.38;3.0;9.75;0.06;1.0
1757102400.0;73.82;0.0;0.53;60.41;0.41;3.23;11.26;0.04;2.0
1757106000.0;72.2;0.0;0.56;61.26;0.41;3.47;12.23;0.02;2.0
1757109600.0;71.06;0.0;0.51;62.22;0.37;3.61;11.36;0.04;2.0
1757113200.0;70.45;0.0;0.43;63.1;0.29;3.51;9.1;0.07;2.0
